route_id,route2,type2,veh_size,carrier,routetype,feature,lim_up,lim_down,buslane,capacity,lot
224,136,bus,СК,ПАТ,город,,,минимум,,40,pat
226,137,bus,БК,ПАТ,город,,,,,60,pat
223,138,bus,БК,"ООО ""Вест-Сервис""",город,кладб,частник,,,60,9
1549,139,bus,БК,"АО ""Третий парк""",город,пром,частник,,,60,2
384,140,bus,БК,ПАТ,город,,,,,60,pat
1860,141,bus,БК,ПАТ,город,,,,,60,pat
1326,142,bus,ОБК/БК,ПАТ,город,,,,,80,pat
335,143,bus,БК,ПАТ,город,,,,,60,pat
1767,144,bus,СК,"ООО ""Вест-Сервис""",пригород,,,минимум,,40,6
1331,145,bus,ОБК/БК,ПАТ,ГП,КрСело,,,,80,pat
1770,146,bus,СК,"ООО ""Вест-Сервис""",пригород,,,минимум,,40,6
1771,147,bus,БК,"ООО ""Домтрансавто""",ГП,КрСело,частник,,,60,4
2556,148,bus,БК,"АО ""Третий парк""",ГП,,частник,,,60,2
1774,149,bus,СК,"ООО ""Домтрансавто""",пригород,,,минимум,,40,20
1820,150,bus,БК,"ООО ""Домтрансавто""",ГП,,частник,,,60,4
1685,151,bus,СК,"ООО ""Домтрансавто""",город,,габарит,минимум,,40,12
1686,152,bus,СК,"ООО ""Домтрансавто""",город,,габарит,минимум,,40,12
240,153,bus,ОБК/БК,ПАТ,город,,,,,80,pat
1808,155,bus,БК,"ООО ""Домтрансавто""",ГП,,частник,,,60,4
1301,157,bus,БК,ПАТ,город,,,,,60,pat
2032,158,bus,БК,ПАТ,город,пром,,,,60,pat
1620,159,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,10
2094,160,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,4
1603,161,bus,БК,ПАТ,город,,,,,60,pat
1327,162,bus,БК,"ООО ""Домтрансавто""",ГП,Петергоф,частник,,,60,4
1754,163,bus,БК,"ООО ""Вест-Сервис""",ГП,пром,частник,,,60,6
1580,164,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,9
1323,165,bus,ОБК/БК,ПАТ,ГП,,,,,80,pat
1810,166,bus,БК,"АО ""Третий парк""",город,,частник,,,60,3
1727,167,bus,БК,"АО ""Третий парк""",ГП,,частник,,,60,2
2535,169,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,9
2132,170,bus,БК,"АО ""Третий парк""",город,,частник,,,60,3
328,171,bus,ОБК/БК,ПАТ,город,,,,,80,pat
334,172,bus,ОБК/БК,ПАТ,город,,,,,80,pat
1741,173,bus,СК,"АО ""Третий парк""",ГП,,,минимум,,40,2
241,174,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,9
2173,175,bus,БК,"АО ""Третий парк""",пригород,,частник,,,60,1
1501,176,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,9
264,177,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,4
336,178,bus,ОБК/БК,ПАТ,город,,,,,80,pat
1688,179,bus,БК,"ООО ""Вест-Сервис""",ГП,Пушкин,частник,,,60,8
3219,180,bus,ОБК/БК,ПАТ,город,,,,,80,pat
1689,181,bus,ОБК/БК,ПАТ,город,,,,,80,pat
2475,182,bus,БК,"АО ""Третий парк""",город,,частник,,,60,3
2112,183,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,9
3667,184,bus,ОБК/БК,ПАТ,город,,,,,80,pat
2133,185,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,9
1324,186,bus,БК,ПАТ,ГП,Пушкин,КАП,,,60,pat
1246,187,bus,БК,ПАТ,ГП,Пушкин,КАП,,,60,pat
1690,188,bus,БК,"ООО ""Вест-Сервис""",пригород,,частник,,,60,8
1547,189,bus,БК,"ООО ""Вест-Сервис""",ГП,,частник,,,60,7
1251,190,bus,БК,ПАТ,город,,КАП,,,60,pat
1699,191,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,9
1691,192,bus,БК,"ООО ""Вест-Сервис""",ГП,Колпино,частник,,,60,7
3812,193,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,9
4055,194,bus,БК,"АО ""Третий парк""",ГП,пром,частник,,,60,3
1293,195,bus,БК,ПАТ,ГП,кладб,,,,60,pat
1300,196,bus,БК,ПАТ,ГП,Колпино,КАП,,,60,pat
3810,197,bus,СК,"ООО ""Домтрансавто""",ГП,Пушкин,,минимум,,40,10
4195,198,bus,БК,ПАТ,город,,,,,60,pat
3832,199,bus,СК,"АО ""Третий парк""",город,,,минимум,,40,2
1294,200,bus,ОБК/БК,ПАТ,ГП,Петергоф,,,,80,pat
5482,201,bus,СК,"ООО ""Вест-Сервис""",ГП,Петергоф,,минимум,,40,5
5343,202,bus,БК,"АО ""Третий парк""",город,,частник,,,60,3
7630,203,bus,БК,ПАТ,город,,,,,60,bonus
7629,205,bus,СК,"ООО ""Вест-Сервис""",город,,,минимум,,40,6
8227,206,bus,СК,"ООО ""Вест-Сервис""",город,,,минимум,,40,9
6426,207,bus,СК,"АО ""Третий парк""",ГП,Кронштадт,,минимум,,40,1
7406,208,bus,СК,"АО ""Третий парк""",город,,,минимум,,40,3
1266,210,bus,ОБК/БК,ПАТ,ГП,Петергоф,,,,80,pat
1841,211,bus,БК,"АО ""Третий парк""",ГП,Сестрорецк,частник,,,60,1
1834,213,bus,БК,"АО ""Третий парк""",пригород,,частник,,,60,1
1811,215,bus,БК,"АО ""Третий парк""",пригород,,частник,,,60,1
1812,216,bus,БК,"АО ""Третий парк""",ГП,Сестрорецк,частник,,,60,1
4159,217,bus,СК,"ООО ""Такси""",город,,,минимум,,40,17
6430,219,bus,БК,"АО ""Третий парк""",город,,частник,,,60,1
7634,220,bus,СК,"ООО ""Такси""",город,,,минимум,,40,19
8652,221,bus,БК,ПАТ,город,,,,,60,bonus
7518,222,bus,СК,"ООО ""Домтрансавто""",город,,,минимум,,40,4
6427,223,bus,БК,"АО ""Третий парк""",город,,частник,,,60,3
7517,225,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,10
7379,226,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,10
7641,227,bus,БК,"АО ""Третий парк""",город,,частник,,,60,3
7381,228,bus,БК,ПАТ,город,,,,,60,bonus
1281,229,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,5
7642,230,bus,БК,"АО ""Третий парк""",город,,частник,,,60,2
8230,231,bus,СК,"ООО ""Домтрансавто""",город,,,минимум,,40,10
8228,232,bus,БК,"ООО ""Домтрансавто""",ГП,Пушкин,частник,,,60,10
7380,233,bus,БК,"ООО ""Вест-Сервис""",город,мега,частник,,,60,7
7819,234,bus,СК,"АО ""Третий парк""",город,,,минимум,,40,2
6429,235,bus,СК,"АО ""Третий парк""",город,,,минимум,,40,3
8249,236,bus,СК,"ООО ""Вест-Сервис""",пригород,,,минимум,,40,8
7526,237,bus,БК,"АО ""Третий парк""",город,,частник,,,60,3
7666,239,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,9
7382,240,bus,БК,"АО ""Третий парк""",город,,частник,,,60,2
7686,241,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,5
7646,242,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,5
7376,243,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,6
